_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
19,19,北美小学校（運動場）,キタミショウガッコウ（ウンドウジョウ）,沖縄県沖縄市登川1515,,26.37669,127.821084,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
20,20,美里小学校（運動場）,ミサトショウガッコウ（ウンドウジョウ）,沖縄県沖縄市美里4-1-1,,26.3504219,127.8127753,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
21,21,美東小学校（運動場）,ビトウショウガッコウ（ウンドウジョウ）,沖縄県沖縄市桃原3-4-1,,26.33351029,127.8279803,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,1,,,,
22,22,宮里小学校（運動場）,ミヤザトショウガッコウ（ウンドウジョウ）,沖縄県沖縄市宮里3-27-1,,26.338868,127.821807,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
23,23,高原小学校（運動場）,タカハラショウガッコウ（ウンドウジョウ）,沖縄県沖縄市高原5-12-2,,26.32215731,127.825808,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,1,,,,
24,24,室川小学校（運動場）,ムロカワショウガッコウ（ウンドウジョウ）,沖縄県沖縄市室川2-24-1,,26.335357,127.808586,,,,47211,沖縄県,沖縄市,1,,1,1,1,,,,,,,,
25,25,美原小学校（運動場）,ミハラショウガッコウ（ウンドウジョウ）,沖縄県沖縄市美原4-20-1,,26.350052,127.82051,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
26,26,泡瀬小学校（運動場）,アワセショウガッコウ（ウンドウジョウ）,沖縄県沖縄市泡瀬2-33-10,,26.316405,127.835385,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
27,27,比屋根小学校（運動場）,ヒヤゴンショウガッコウ（ウンドウジョウ）,沖縄県沖縄市比屋根6-2-1,,26.314049,127.816723,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
28,28,越来中学校（運動場）,ゴエクチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市越来1-2-1,,26.34170917,127.8116983,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
29,29,コザ中学校（運動場）,コザチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市胡屋3-38-1,,26.332054,127.80529,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
30,30,山内中学校（運動場）,ヤマウチチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市山内2-20-1,,26.323523,127.784573,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
31,31,美里中学校（運動場）,ミサトチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市知花1-24-1,,26.359801,127.818279,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
32,32,美東中学校（運動場）,ビトウチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市高原5-12-1,,26.32265736,127.8251589,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,1,,,,
33,33,安慶田中学校（運動場）,アゲタチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市安慶田3-8-1,,26.33150014,127.812429,,,,47211,沖縄県,沖縄市,,1,1,1,1,,,,,,,,
34,34,宮里中学校（運動場）,ミヤザトチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市東2-17-1,,26.34370696,127.8251165,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
35,35,沖縄東中学校（運動場）,オキナワヒガシチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市桃原260-2,,26.329942,127.829815,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
36,36,八重島公園,ヤエシマコウエン,沖縄県沖縄市八重島1-1,,26.34485696,127.8012443,,,,47211,沖縄県,沖縄市,1,,1,1,1,,,,,,,,
37,37,コザ運動公園（広域）,コザウンドウコウエン（コウイキ）,沖縄県沖縄市諸見里2-1,,26.33198708,127.7871785,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
38,38,農民研修センター ふれあい広場（小規模）,ノウミンケンシュウセンター フレアイヒロバ（ショウキボ）,沖縄県沖縄市登川2380,,26.36801984,127.8171943,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,,,,,
39,39,泡瀬市営住宅（津波避難ビル）,アワセシエイジュウタク（ツナミヒナンビル）,沖縄県沖縄市泡瀬6-27,,26.329795,127.831659,,,,47211,沖縄県,沖縄市,,,,,1,,,,,,,,
40,40,美里高等学校（運動場）,ミサトコウトウガッコウ（ウンドウジョウ）,沖縄県沖縄市松本2-5-1,,26.355261,127.819746,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
41,41,球陽高等学校・球陽中学校（運動場）,キュウヨウコウトウガッコウ・キュウヨウチュウガッコウ（ウンドウジョウ）,沖縄県沖縄市南桃原1-10-1,,26.319306,127.785762,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
42,42,コザ高等学校（運動場）,コザコウトウガッコウ（ウンドウジョウ）,沖縄県沖縄市照屋5-5-1,,26.331383,127.819778,,,,47211,沖縄県,沖縄市,1,,1,1,1,,,,1,,,,
43,43,美来工科高等学校（運動場）,ミライコウカコウトウガッコウ（ウンドウジョウ）,沖縄県沖縄市越来3-17-1,,26.34898176,127.807948,,,,47211,沖縄県,沖縄市,1,1,1,1,1,,,,1,,,,
44,44,美里工業高等学校（運動場）,ミサトコウギョウコウトウガッコウ（ウンドウジョウ）,沖縄県沖縄市泡瀬5-42-2,,26.326397,127.82995,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
45,45,沖縄県総合運動公園（広域）,オキナワケンソウゴウウンドウコウエン（コウイキ）,沖縄県沖縄市比屋根5-3-1,,26.31043433,127.8223919,,,,47211,沖縄県,沖縄市,1,1,,1,,,,,,,,,
1,1,松田小学校(ｸﾞﾗｳﾝﾄﾞ),マツダショウガッコウ(グラウンド),沖縄県宜野座村松田2261,,26.504902,127.984398,,(098)968-8506,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"2,400",,,
2,2,宜野座小学校(ｸﾞﾗｳﾝﾄﾞ),ギノザショウガッコウ（グラウンド）,沖縄県宜野座村宜野座1198,,26.498165,127.971642,,(098)968-8550,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"3,400",,,
3,3,漢那小学校(ｸﾞﾗｳﾝﾄﾞ),カンナショウガッコウ（グラウンド）,沖縄県宜野座村漢那1987-5,,26.488623,127.944199,,(098)968-2511,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"3,500",,,
4,4,宜野座中学校(ｸﾞﾗｳﾝﾄﾞ),ギノザチュウガッコウ（グラウンド）,沖縄県宜野座村惣慶1505-1,,26.490911,127.960503,,(098)968-8510,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"5,000",,,
5,5,宜野座高校(ｸﾞﾗｳﾝﾄﾞ),ギノザコウコウ（グラウンド）,沖縄県宜野座村宜野座157,,26.498165,127.971642,,(098)968-8311,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"2,400",,,
6,6,村総合グラウントﾞ,ソンソウゴウグラウンド,沖縄県宜野座村宜野座250,,26.498165,127.971642,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"3,500",,,
7,7,松田地区農村公園,マツダチクノウソンコウエン,沖縄県宜野座村松田413-1,,26.504902,127.984398,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,750,,,
8,8,宜野座地区児童公園,ギノザチクジドウコウエン,沖縄県宜野座村宜野座698-2,,26.498165,127.971642,,,,473138,沖縄県,宜野座村,,1,,1,,1,,,,250,,,
9,9,農村公園,ノウソンコウエン,沖縄県宜野座村惣慶1857,,26.490911,127.960503,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"3,400",,,
10,10,惣慶児童公園（公民館隣接）,ソケイジドウコウエン（コウミンカンリンセツ）,沖縄県宜野座村惣慶1588,,26.490911,127.960503,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"2,750",,,
11,11,福山児童公園（公民館隣接）,フクヤマジドウコウエン（コウミンカンリンセツ）,沖縄県宜野座村惣慶2046-83,,26.490911,127.960503,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"1,250",,,
12,12,漢那ﾖﾘｱｹﾞの森緑地公園,カンナヨリアゲノモリリョクチコウエン,沖縄県宜野座村漢那976-1,,26.488623,127.944199,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,200,,,
13,13,漢那児童公園,カンナジドウコウエン,沖縄県宜野座村漢那1773-1,,26.488623,127.944199,,,,473138,沖縄県,宜野座村,,1,,1,,1,,,,"1,400",,,
14,14,城原緑地公園,シロバルリョクチコウエン,沖縄県宜野座村漢那2276-1,,26.488623,127.944199,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,650,,,
15,15,城原近隣公園,シロハラリンセツコウエン,沖縄県宜野座村漢那2262-1,,26.488623,127.944199,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"6,000",,,
16,16,宜野座ドーム,ギノザドーム,沖縄県宜野座村宜野座181,,26.498165,127.971642,,(098)968-8780,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,1,"1,000",,,
17,17,宜野座村野球場,ギノザソンヤキュウジョウ,沖縄県宜野座村宜野座188-1,,26.498165,127.971642,,(098)968-8780,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,"3,600",,,
18,18,並松公園,ナミマツコウエン,沖縄県宜野座村惣慶1484,,26.490911,127.960503,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,780,,,
19,19,高松公園,タカマツコウエン,沖縄県宜野座村松田2629-121,,26.504902,127.984398,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,650,,,
20,20,古島公園,フルジマコウエン,沖縄県宜野座村宜野座13,,26.498165,127.971642,,,,473138,沖縄県,宜野座村,1,1,1,1,1,1,,,,526,,,
1,1,あすなろ児童公園,アスナロジドウコウエン,沖縄県宜野湾市宜野湾市野嵩1-12-1,,26.280349,127.779332,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,925,,,
2,2,まつのおか児童公園,マツノオカジドウコウエン,沖縄県宜野湾市宜野湾市野嵩1-6-1 ,,26.278562,127.781002,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,926,,,
3,3,きさらぎ児童公園,キサラギジドウコウエン,沖縄県宜野湾市宜野湾市野嵩1-43,,26.284564,127.781731,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,983,,,
4,4,のだけ公園,ノダケコウエン,沖縄県宜野湾市宜野湾市野嵩3-15-45,,26.288134,127.783504,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,3325,,,
5,5,ひがし児童公園,ヒガシジドウコウエン,沖縄県宜野湾市宜野湾市野嵩4-23-17,,26.291486,127.783995,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,238,,,
6,6,ふてんま公園,フテンマコウエン,沖縄県宜野湾市宜野湾市普天間1-22-22,,26.292726,127.779944,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,826,,,
7,7,ながつき児童公園,ナガツキジドウコウエン,沖縄県宜野湾市宜野湾市新城1-1-16,,26.292726,127.774819,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,129,,,
8,8,あらしろ児童公園,アラシロジドウコウエン,沖縄県宜野湾市宜野湾市新城2-5-1,,26.285514,127.77196,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,247,,,
9,9,ちゅんなー公園,チュンナーコウエン,沖縄県宜野湾市宜野湾市喜友名1-29-1,,26.286763,127.763711,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,512,,,
10,10,伊佐児童公園,イサジドウコウエン,沖縄県宜野湾市宜野湾市伊佐3-12-2,,26.293792,127.755964,,,,472051,沖縄県,宜野湾市,,1,,1,,,,,,1009,,,
11,11,伊佐第二児童公園,イサダイニジドウコウエン,沖縄県宜野湾市宜野湾市伊佐2-21-2 ,,26.287075,127.753598,,,,472051,沖縄県,宜野湾市,,1,1,1,,,,,,1428,,,
12,12,あだん児童公園,アダンジドウコウエン,沖縄県宜野湾市宜野湾市大山6-26-1 ,,26.277503,127.738467,,,,472051,沖縄県,宜野湾市,,1,1,1,,,,,,711,,,
13,13,シーサー児童公園,シーサージドウコウエン,沖縄県宜野湾市宜野湾市大山6-44-8,,26.278976,127.738463,,,,472051,沖縄県,宜野湾市,,1,,1,,,,,,456,,,
14,14,宜野湾海浜公園,ギノワンカイヒンコウエン,沖縄県宜野湾市宜野湾市真志喜4-2-1 ,,26.281107,127.7339,,,,472051,沖縄県,宜野湾市,,1,,1,,,,,,45142,,,
15,15,市立グラウンド,シリツグラウンド,沖縄県宜野湾市宜野湾市真志喜3-25-1 ,,26.277405,127.734294,,,,472051,沖縄県,宜野湾市,,1,,1,,,,,,8000,,,
16,16,わかたけ児童公園,ワカタケジドウコウエン,沖縄県宜野湾市宜野湾市真志喜2-10-1,,26.274768,127.73802,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,1105,,,
17,17,いすのき児童公園,イスノキジドウコウエン,沖縄県宜野湾市宜野湾市真志喜2-4-1 ,,26.272648,127.738579,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,571,,,
18,18,ましき児童公園,マシキジドウコウエン,沖縄県宜野湾市宜野湾市真志喜3-12-1,,26.27379,127.736104,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,947,,,
19,19,ゆうな児童公園,ユウナジドウコウエン,沖縄県宜野湾市宜野湾市真志喜3-23-1,,26.27617,127.733194,,,,472051,沖縄県,宜野湾市,,1,1,1,,,,,,689,,,
20,20,森川公園,モリカワコウエン,沖縄県宜野湾市宜野湾市真志喜1-24-1,,26.270395,127.741318,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,11920,,,
21,21,かたばる公園 ,カタバルコウエン,沖縄県宜野湾市宜野湾市字宇地泊751-11,,26.274236,127.731014,,,,472051,沖縄県,宜野湾市,,1,1,1,,,,,,757,,,
22,22,ガジュマル児童公園,ガジュマルジドウコウエン,沖縄県宜野湾市宜野湾市字宇地泊471,,26.269767,127.728975,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,800,,,
23,23,ゆうひ児童公園,ユウヒジドウコウエン,沖縄県宜野湾市宜野湾市字宇地泊598,,26.271048,127.726399,,,,472051,沖縄県,宜野湾市,,1,,1,,,,,,577,,,
24,24,青空公園,アオゾラコウエン,沖縄県宜野湾市宜野湾市嘉数4-617-2,,26.262014,127.729633,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,161,,,
25,25,比屋良川公園,ヒヤラガワコウエン,沖縄県宜野湾市宜野湾市嘉数4-824-1,,26.258485,127.740357,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,3496,,,
26,26,嘉数高台公園,カカズタカダイコウエン,沖縄県宜野湾市宜野湾市嘉数1-5,,26.258753,127.736995,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,9638,,,
27,27,まえはら児童公園,マエハラジドウコウエン,沖縄県宜野湾市宜野湾市真栄原1-15-18,,26.257247,127.74643,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,496,,,
28,28,ぐんばる公園,グンバルジドウコウエン,沖縄県宜野湾市宜野湾市真栄原3-11-1,,26.263513,127.743217,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,571,,,
29,29,おおぶき公園,オオブキコウエン,沖縄県宜野湾市宜野湾市真栄原3-24-8,,26.263641,127.745325,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,400,,,
30,30,佐真下公園,サマシタコウエン,沖縄県宜野湾市宜野湾市真栄原3-38,,26.263871,127.748115,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,1914,,,
31,31,がねこ児童公園,ガネコジドウコウエン,沖縄県宜野湾市宜野湾市我如古4-15-40,,26.254307,127.750909,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,346,,,
32,32,しまし公園,シマシコウエン,沖縄県宜野湾市宜野湾市志真志3-16-3,,26.256304,127.761073,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,457,,,
33,33,ながた児童公園,ナガタジドウコウエン,沖縄県宜野湾市宜野湾市長田3-27,,26.260988,127.766123,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,912,,,
34,34,いこいの市民パーク,イコイノシミンパーク,沖縄県宜野湾市宜野湾市宜野湾1-14-24,,26.267272,127.763154,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,13423,,,
35,35,まつぼっくり公園,マツボックリコウエン,沖縄県宜野湾市宜野湾市愛知2-5,,26.268689,127.769866,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,1714,,,
36,36,あかみち公園,アカミチコウエン,沖縄県宜野湾市宜野湾市赤道1-5-14,,26.27188,127.770228,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,594,,,
37,37,うえはら児童公園,ウエハラジドウコウエン,沖縄県宜野湾市宜野湾市上原1-22-8,,26.277414,127.774873,,,,472051,沖縄県,宜野湾市,,1,1,1,1,,,,,714,,,
1,1,平和祈念公園,ヘイワキネンコウエン,沖縄県糸満市摩文仁444,,26.096569,127.723091,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"197,933",,,
2,2,糸満観光農園,イトマンカンコウノウエン,沖縄県糸満市摩文仁1018,,26.10376,127.716934,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"138,762",,,
3,3,ロンドン杜公園,ロンドンモリコウエン,沖縄県糸満市真栄里1473,,26.115919,127.67643,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"12,000",,,
4,4,西崎総合運動公園,ニシザキソウゴウウンドウコウエン,沖縄県糸満市西崎町3,,26.146656,127.666412,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"109,667",,,
5,5,糸満小学校グラウンド,イトマンショウガッコウグラウンド,沖縄県糸満市糸満673,,26.130802,127.674576,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"6,753",,,
6,6,糸満中学校グラウンド,イトマンチュウガッコウグラウンド,沖縄県糸満市糸満1880,,26.131386,127.67643,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"13,838",,,
7,7,兼城小学校グラウンド,カネグスクショウガッコウグラウンド,沖縄県糸満市賀数1,,26.145575,127.690536,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"5,023",,,
8,8,兼城中学校グラウンド,カネグスクチュウガッコウグラウンド,沖縄県糸満市座波1271,,26.145004,127.691521,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"10,881",,,
9,9,米須小学校グラウンド,コメスショウガッコウグラウンド,沖縄県糸満市米須632,,26.097443,127.69725,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"6,431",,,
10,10,真壁小学校グラウンド,マカベショウガッコウグラウンド,沖縄県糸満市真壁630,,26.102402,127.688858,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"9,226",,,
11,11,三和中学校グラウンド,ミワチュウガッコウグラウンド,沖縄県糸満市真壁519,,26.102402,127.688858,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"14,754",,,
12,12,喜屋武小学校グラウンド,キャンショウガッコウグラウンド,沖縄県糸満市喜屋武555,,26.093155,127.668007,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"8,225",,,
13,13,高嶺小学校グラウンド,タカミネショウガッコウグラウンド,沖縄県糸満市大里1901,,26.127583,127.689133,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"6,140",,,
14,14,高嶺中学校グラウンド,タカミネチュウガッコウグラウンド,沖縄県糸満市大里1902,,26.127583,127.689133,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"11,201",,,
15,15,社会福祉センターグラウンド,シャカイフクシセンターグラウンド,沖縄県糸満市真栄里857,,26.111498,127.670662,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"11,696",,,
16,16,西崎小学校グラウンド,ニシザキショウガッコウグラウンド,沖縄県糸満市西崎2-4-1,,26.142107,127.66626,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"12,121",,,
17,17,西崎小学校校舎,ニシザキショウガッコウコウシャ,沖縄県糸満市西崎2-4-1,,26.142107,127.66626,,,,472107,沖縄県,糸満市,,,,,1,,,,,"1,361",,,
18,18,西崎中学校グラウンド,ニシザキチュウガッコウグラウンド,沖縄県糸満市西崎町3-422,,26.147301,127.669487,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"14,509",,,
19,19,西崎中学校校舎,ニシザキチュウガコウコウシャ,沖縄県糸満市西崎町3-422,,26.147301,127.669487,,,,472107,沖縄県,糸満市,,,,,1,,,,,383,,,
20,20,光洋小学校グラウンド,コウヨウショガッコウグラウンド,沖縄県糸満市西崎町3-7-1,,26.148552,127.660522,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"10,776",,,
21,21,糸満南小学校グラウンド,イトマンミナミショガッコウグラウンド,沖縄県糸満市潮崎町3-1,,26.12006,127.666321,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"11,149",,,
22,22,潮平小学校グラウンド,シオヒラショウガッコウグラウンド,沖縄県糸満市潮平634-2,,26.145119,127.674324,,,,472107,沖縄県,糸満市,,1,,,,1,,,,"6,654",,,
23,23,潮平小学校校舎,シオヒラショウガッコウコウシャ,沖縄県糸満市潮平634-2,,26.145119,127.674324,,,,472107,沖縄県,糸満市,,,,,1,,,,,"1,652",,,
24,24,潮平中学校グラウンド,シオヒラチュウガッコウグラウンド,沖縄県糸満市阿波根1200,,26.148323,127.674683,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"10,470",,,
25,25,潮平中学校校舎,シオヒラチュウガッコウコウシャ,沖縄県糸満市阿波根1200,,26.148323,127.674683,,,,472107,沖縄県,糸満市,,,,,1,,,,,"1,948",,,
26,26,県営西崎団地,ケンエイニシザキダンチ,沖縄県糸満市西崎2-5-9,,26.14333,127.665741,,,,472107,沖縄県,糸満市,,,,,1,,,,,"2,256",,,
27,27,県営西崎第2団地,ケンエイニシザキダイニダンチ,沖縄県糸満市西崎町3-1,,26.146854,127.661232,,,,472107,沖縄県,糸満市,,,,,1,,,,,560,,,
28,28,県営潮平高層住宅,ケンエイシオヒラコウソウジュウタク,沖縄県糸満市潮平791,,26.150679,127.670708,,,,472107,沖縄県,糸満市,,,,,1,,,,,"2,584",,,
29,29,スポーツロッジ糸満,スポーツロッジイトマン,沖縄県糸満市西崎町3-1,,26.146854,127.661232,,,,472107,沖縄県,糸満市,,,,,1,,,,,106,,,
30,30,エンゼルハイム糸満,エンゼルハイムイトマン,沖縄県糸満市兼城581-1,,26.135698,127.670708,,,,472107,沖縄県,糸満市,,,,,1,,,,,420,,,
31,31,沖縄水産高等学校,オキナワスイサンコウトウガッコウ,沖縄県糸満市西崎1-1-1,,26.136864,127.665459,,,,472107,沖縄県,糸満市,,,,,1,,,,,"3,011",,,
32,32,県営浜川団地,ケンエイハマガワダンチ,沖縄県糸満市兼城340,,26.1423,127.673492,,,,472107,沖縄県,糸満市,,,,,1,,,,,"2,586",,,
33,33,糸満市役所,イトマンシヤクショ,沖縄県糸満市潮崎町1-1,,26.123459,127.665543,,,,472107,沖縄県,糸満市,,,,,1,,,,,"7,639",,,
34,34,糸満市中央図書館,イトマンシチュウオウトショカン,沖縄県糸満市真栄里1448,,26.119408,127.672501,,,,472107,沖縄県,糸満市,,,,,1,,,,,"3,612",,,
