_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
26,472115,26,沖縄県,沖縄市,登川碑,ノボリカワヒ,登川碑,,市指定登録記念物,その他,,沖縄県沖縄市登川3-148ｰ1,,26.370983,127.823631,,,,,,管理者：登川自治会,2009-03-27,,,,,,,,,,,,
27,472115,27,沖縄県,沖縄市,古謝のビジュルにあるアコウ,コジャノビジュルニアルアコウ,古謝のビジュルのアコウ,,市指定登録記念物,その他,,沖縄県沖縄市字古謝164,,26.336062,127.833494,,,,,,管理者：古謝自治会,2009-03-27,,,,,,,,,,,,
28,472115,28,沖縄県,沖縄市,沖縄市立ふるさと園旧久場家住宅主屋,オキナワシリツフルサトエンキュウクバケジュウタクオモヤ,ふるさと園主屋,,登録有形文化財,建造物,,沖縄県沖縄市胡屋5－7ｰ1,,26.3279,127.804264,,,,,,管理者：沖縄市,2011-07-25,,,,,,,,,,,,
29,472115,29,沖縄県,沖縄市,沖縄市立ふるさと園旧久場家住宅ヒンプン,オキナワシリツフルサトエンキュウクバケジュウタクヒンプン,ふるさと園ヒンプン,,登録有形文化財,建造物,,沖縄県沖縄市胡屋5－7ｰ1,,26.32779,127.804223,,,,,,管理者：沖縄市,2011-07-25,,,,,,,,,,,,
30,472115,30,沖縄県,沖縄市,沖縄市立ふるさと園旧平田家マチフール,オキナワシリツフルサトエンキュウクバケジュウタクマチフール,ふるさと園マチフール,,登録有形文化財,建造物,,沖縄県沖縄市胡屋5－7ｰ1,,26.327951,127.804147,,,,,,管理者：沖縄市,2011-07-25,,,,,,,,,,,,
31,472115,31,沖縄県,沖縄市,美里村屋,ンザトゥムラヤー,美里村屋,,登録有形文化財,建造物,,沖縄県沖縄市美里3-355,,26.346192,127.814381,,,,,,管理者：美里自治会,2014-04-25,,,,,,,,,,,,
1,473138,,沖縄県,宜野座村,松田鍾乳洞,マツダショウニュウドウ,,,,その他,,沖縄県宜野座村松田,,26.29397,127.59345,,,,,,,,,,,,,,,,自然,,,
2,473138,,沖縄県,宜野座村,メーガー遺跡,メーガーイセキ,,,,その他,,沖縄県宜野座村松田,,26.29397,127.59353,,,,,,,,,,,,,,,,遺跡,,,
3,473138,,沖縄県,宜野座村,前原遺跡,メーバルイセキ,,,,その他,,沖縄県宜野座村松田,,26.28524,127.5926,,,,,,,,,,,,,,,,遺跡,,,
4,473138,,沖縄県,宜野座村,前原貝塚,メーバルカイヅカ,,,,その他,,沖縄県宜野座村松田,松田小字前,26.4829,127.9887,,,,,,,,,,,,,,,,遺跡,,,
5,473138,,沖縄県,宜野座村,後ヌ御嶽（クシヌ御嶽）,クシヌミタケ,,,,その他,,沖縄県宜野座村松田1007,,26.292902,127.594286,,,,,,,,,,,,,,,,御嶽,,,
6,473138,,沖縄県,宜野座村,前ヌ御嶽（メーヌ御嶽）,メーヌミタケ,,,,その他,,沖縄県宜野座村松田2567,,26.291909,127.592443,,,,,,,,,,,,,,,,御嶽,,,
7,473138,,沖縄県,宜野座村,ブルシ御嶽,ブルシミタケ,,,,その他,,沖縄県宜野座村松田,,,,,,,,,,,,,,,,,,,御嶽,,,
8,473138,,沖縄県,宜野座村,松田の十五夜アシビ,マツダノジュウゴヤアシビ,,,村指定重要文化財,芸能,,沖縄県宜野座村宜野座427,,26.498165,127.971642,,,,,,,1995-03-24,,,,,,,,,伝統行事,,,
9,473138,,沖縄県,宜野座村,組踊『本部大主』,クミオドリ『モトブウフヌシ』,,,,芸能,,沖縄県宜野座村,,,,,,,,,,,,,,,,,,,伝統芸能,,,
10,473138,,沖縄県,宜野座村,松田の馬場及び松並木,マツダノババオヨビマツナミキ,,,村指定重要文化財,その他,,沖縄県宜野座村松田601,他,26.504902,127.984398,,,,,,,1984-02-27,,,,,,,,,史跡,,,
11,473138,,沖縄県,宜野座村,宜野座ヌ古島遺跡（大川グシク跡）,ギノザヌフルジマイセキ（ウフガーグシクアト）,,,,その他,,沖縄県宜野座村宜野座90-2,,26.498165,127.971642,,,,,,,,,,,,,,,,遺跡,,,
12,473138,,沖縄県,宜野座村,宜野座ヌル殿内（ノロ殿内の拝所）,ギノザヌルドゥンチ（ノロドゥンチノハイショ）,,,,建造物,,沖縄県宜野座村宜野座90,,26.498165,127.971642,,,,,,,,,,,,,,,,拝所,,,
13,473138,,沖縄県,宜野座村,宜野座ヌ御願（ウフ嶽）,ギノザヌオガミ（ウフダケ）,,,,その他,,沖縄県宜野座村宜野座,,,,,,,,,,,,,,,,,,,御嶽,,,
14,473138,,沖縄県,宜野座村,ナートゥヤー,ナートゥヤー,,,,その他,,沖縄県宜野座村宜野座,,,,,,,,,,,,,,,,,,,御嶽,,,
15,473138,,沖縄県,宜野座村,宜野座の八月あしび（字宜野座の十五夜アシビ）,ギノザノハチグワチアシビ（アザギノザノジュウゴヤアシビ）,,,記録作成等の措置を講ずべき無形文化財,芸能,,沖縄県宜野座村宜野座,,26.498165,127.971642,,,,,,,2005-02-21,,,,,,,,,伝統行事,,,
16,473138,,沖縄県,宜野座村,宜野座の京太郎,ギノザノチョンダラー,,,県指定重要無形文化財,芸能,,沖縄県宜野座村宜野座,,,,,,,,,,1985-10-08,,,,,,,,,伝統芸能,,,
17,473138,,沖縄県,宜野座村,惣慶のお宮（惣慶のウガン）,ソケイノオミヤ（ソケイノウガン）,,,,建造物,,沖縄県宜野座村惣慶,,26.477028,127.974111,,,,,,,,,,,,,,,,拝所,,,
18,473138,,沖縄県,宜野座村,惣慶のイシガントウ（3か所）,ソケイノイシガントウ（3カショ）,,,,その他,,沖縄県宜野座村惣慶,,26.28408,127.58319,,,,,,,,,,,,,,,,民俗,,,
19,473138,,沖縄県,宜野座村,シマカンカー,シマカンカー,,,,芸能,,沖縄県宜野座村惣慶,,,,,,,,,,,,,,,,,,,伝統行事,,,
20,473138,,沖縄県,宜野座村,惣慶のミジタヤー,ソケイノミジタヤー,,,村指定重要文化財,芸能,,沖縄県宜野座村惣慶1585,,26.490911,127.960503,,,,,,,1996-03-29,,,,,,,,,伝統芸能,,,
21,473138,,沖縄県,宜野座村,福山のお宮,フクヤマノオミヤ,,,,建造物,,沖縄県宜野座村惣慶,,,,,,,,,,,,,,,,,,,拝所,,,
22,473138,,沖縄県,宜野座村,漢那ウェーヌアタイ（通称：ヨリアゲの森公園）,カンナウェーヌアタイ（ツウショウ：ヨリアゲノモリコウエン）,,,,その他,,沖縄県宜野座村漢那,,26.28359,127.57409,,,,,,,,,,,,,,,,自然,,,
23,473138,,沖縄県,宜野座村,漢那ウェーヌアタイ遺跡,カンナウェーヌアタイイセキ,,,,その他,,沖縄県宜野座村漢那,,26.28359,127.57409,,,,,,,,,,,,,,,,遺跡,,,
24,473138,,沖縄県,宜野座村,漢那のお宮（ユウアギモー）,カンナノオミヤ（ユウアギモー）,,,,建造物,,沖縄県宜野座村漢那1703－4,,26.488623,127.944199,,,,,,,,,,,,,,,,拝所,,,
25,473138,,沖縄県,宜野座村,漢那ヌンドゥルチ（ノロ殿内）,カンナヌンドゥルチ（ノロドゥンチ）,,,,建造物,,沖縄県宜野座村漢那5,,26.2836,127.57361,,,,,,,,,,,,,,,,拝所,,,
26,473138,,沖縄県,宜野座村,漢那の豊年祭,カンナノオウネンサイ,,,,芸能,,沖縄県宜野座村漢那,,,,,,,,,,,,,,,,,,,伝統行事,,,
27,473138,,沖縄県,宜野座村,城原トゥールガマ遺跡,シロハラトゥールガマイセキ,,,,その他,,沖縄県宜野座村城原,,,,,,,,,,,,,,,,,,,遺跡,,,
28,473138,,沖縄県,宜野座村,城原のお宮,シロハラノオミヤ,,,,建造物,,沖縄県宜野座村城原,,,,,,,,,,,,,,,,,,,拝所,,,
1,472051,1,沖縄県,宜野湾市,喜友名泉,チュンナーガー,,,重要文化財,建造物,,沖縄県宜野湾市字喜友名西原1607,,26.28788,127.76049,,,1,郭,,,,,,,,,,,,,,,
2,472051,2,沖縄県,宜野湾市,大山貝塚,オオヤマカイヅカ,,,史跡,建造物,,沖縄県宜野湾市大山2-2717-3,他周辺,26.27346,127.74502,,,,,,,,,,,,,,,,,,,
3,472051,3,沖縄県,宜野湾市,小禄墓,オロクバカ,,,県指定有形文化財,建造物,,沖縄県宜野湾市字嘉数1006,,26.26001,127.73806,,,1,基,,,,,,,,,,,,,,,
4,472051,4,沖縄県,宜野湾市,宜野湾市森の川,ギノワンシモリノカワ,,,県指定名勝,その他,,沖縄県宜野湾市真志喜1-24,,26.2711,127.74136,,,,,,,,,,,,,,,,,,,
5,472051,5,沖縄県,宜野湾市,我如古ヒージャーガー,ガニクヒージャーガー,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市我如古1-51,,26.25895,127.75354,,,,,,,,,,,,,,,,,,,
6,472051,6,沖縄県,宜野湾市,大謝名の獅子舞,オオジャナノシシマイ,,,市指定無形民俗文化財,芸能,,沖縄県宜野湾市大謝名5-10-1,,26.26688,127.73373,,,,,,,,,,,,,,,,,,,
7,472051,7,沖縄県,宜野湾市,普天間の獅子舞,フテンマノシシマイ,,,市指定無形民俗文化財,芸能,,沖縄県宜野湾市普天間1-32-24,(獅子保管場所),26.29296,127.77976,,,,,,,,,,,,,,,,,,,
8,472051,8,沖縄県,宜野湾市,喜友名の石獅子群(メートーヤマの前),キユナノイシジシグン(メートーヤマノマエ),,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28657,127.76082,,,1,基,,,,,,,,,,,,,,,
9,472051,9,沖縄県,宜野湾市,喜友名の石獅子群（ナカムトゥの前）,キユナノイシジシグン（ナカムトゥノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28472,127.76033,,,1,基,,,,,,,,,,,,,,,
10,472051,10,沖縄県,宜野湾市,喜友名の石獅子群（メントーの前）,キユナノイシジシグン（メントーノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28334,127.76125,,,1,基,,,,,,,,,,,,,,,
11,472051,11,沖縄県,宜野湾市,喜友名の石獅子群（メーマシチの前）,キユナノイシジシグン（メーマシチノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28353,127.76221,,,1,基,,,,,,,,,,,,,,,
12,472051,12,沖縄県,宜野湾市,喜友名の石獅子群（イリーグヮーの前）,キユナノイシジシグン（イリーグヮーノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28436,127.76347,,,1,基,,,,,,,,,,,,,,,
13,472051,13,沖縄県,宜野湾市,喜友名の石獅子群（クラニーグヮーの前）,キユナノイシジシグン（クラニーグヮーノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28443,127.76277,,,1,基,,,,,,,,,,,,,,,
14,472051,14,沖縄県,宜野湾市,喜友名の石獅子群（トゥクイリグヮーの前）,キユナノイシジシグン（トゥクイリグヮーノマエ）,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市喜友名1-3-5,他周辺,26.28656,127.7643,,,1,基,,,,,,,,,,,,,,,
15,472051,15,沖縄県,宜野湾市,野嵩石畳道,ノダケイシダタミミチ,,,市指定史跡,建造物,,沖縄県宜野湾市字野嵩安里畠原地内,,26.28753,127.78698,,,,,,,,,,,,,,,,,,,
16,472051,16,沖縄県,宜野湾市,大山御嶽碑,オオヤマウタキヒ,,,市指定史跡,建造物,,沖縄県宜野湾市大山2-24,,26.27426,127.74311,,,,,,,,,,,,,,,,,,,
17,472051,17,沖縄県,宜野湾市,野嵩クシヌカー,ノダケクシヌカー,,,市指定史跡,建造物,,沖縄県宜野湾市野嵩3-20,,26.28656,127.7823,,,,,,,,,,,,,,,,,,,
18,472051,18,沖縄県,宜野湾市,伊佐浜「新造佐阿天橋碑」,イサハマシンゾウサアテンハシヒ,,,市指定史跡,建造物,,沖縄県宜野湾市字伊佐,後原地内(里道),26.29222,127.7581,,,,,,,,,,,,,,,,,,,
19,472051,19,沖縄県,宜野湾市,伊佐「たけたう原」銘の印部土手,イサタケタウバルメイノシルビドテ,,,市指定史跡,建造物,,沖縄県宜野湾市喜友名2-8,,26.28455,127.75805,,,,,,,,,,,,,,,,,,,
20,472051,20,沖縄県,宜野湾市,西森碑記,ニシモリヒキ,,,市指定史跡,建造物,,沖縄県宜野湾市真志喜1-24,,26.27126,127.74179,,,,,,,,,,,,,,,,,,,
21,472051,21,沖縄県,宜野湾市,我如古スンサーミー,ガニクスンサーミー,,,市指定無形民俗文化財,芸能,,沖縄県宜野湾市我如古1-36-12,,26.25875,127.7537,,,,,,,,,,,,,,,,,,,
22,472051,22,沖縄県,宜野湾市,大山マヤーガマ洞穴遺跡,オオヤママヤーガマドウケツイセキ,,,市指定史跡,建造物,,沖縄県宜野湾市大山1-18,,26.2774,127.74796,,,,,,,,,,,,,,,,,,,
23,472051,23,沖縄県,宜野湾市,本部御殿墓,モトブウドゥンバカ,,,市指定史跡,建造物,,沖縄県宜野湾市我如古2-963,,26.25203,127.75795,,,,,,,,,,,,,,,,,,,
24,472051,24,沖縄県,宜野湾市,神山・愛知ヌールガー,カミヤマアイチヌールガー,,,市指定有形民俗文化財,建造物,,沖縄県宜野湾市愛知1-9,,26.27217,127.76729,,,,,,,,,,,,,,,,,,,
25,472051,25,沖縄県,宜野湾市,字宜野湾の年中祭祀,アザギノワンノネンチュウサイシ,,,市指定無形民俗文化財,その他,,沖縄県宜野湾市宜野湾1-22ｰ24,,26.2649,127.76063,,,,,,,,,,,,,,,,,,,
26,472051,26,沖縄県,宜野湾市,大謝名メーヌカー,オオジャナメーヌカー,,,市指定史跡,建造物,,沖縄県宜野湾市大謝名5-11,,26.2659,127.73367,,,,,,,,,,,,,,,,,,,
27,472051,27,沖縄県,宜野湾市,普天満宮洞穴,フテンマグウドウケツ,,,市指定名勝,その他,,沖縄県宜野湾市普天間1-27,,26.29285,127.77723,,,,,,,,,,,,,,,,,,,
1,473022,41,沖縄県,大宜味村,喜如嘉の芭蕉布,キジョカノバショウフ,,,重要無形文化財,工芸技術,芭蕉布会館,沖縄県国頭郡大宜味村字喜如嘉454番地,,26.706048,128.144102,(0980)44-3033,,,,,喜如嘉の芭蕉布保存会,1974/4/20,,10:00,17:00,月火水木金土,,,,,,,http://www.vill.ogimi.okinawa.jp/village_bashofu/,
2,473022,42,沖縄県,大宜味村,塩屋湾のウンガミ,シオヤワンノウンガミ,,Shioya Bay Ungami Festival Aspects & Key Issues,重要有形民俗文化財,その他,塩屋湾,沖縄県国頭郡大宜味村字塩屋371番地2,,26.672522,128.10756,(0980)44-2878,,,,,,1997/12/15,,,,,,,,,,,,
3,473022,43,沖縄県,大宜味村,田港御獄の植物群落,タンナウタキノショクブツグンラク,,,重要文化財,その他,田港御願,,,26.670649,128.1227,(0980)44-3006,,,,,大宜味村,1974/5/15,,,,,,,,,,,,
4,473022,44,沖縄県,大宜味村,大宜味村役場旧庁舎,オオギミソンヤクバキュウチョウシャ,,,重要文化財,建造物,大宜味村役場旧庁舎,沖縄県国頭郡大宜味村字大兼久157番地2,,26.70214,128.120606,(0980)44-3006,,,,,大宜味村,2017/2/23,,,,,,,,,,,,
5,473022,45,沖縄県,大宜味村,喜如嘉板敷海岸の板干瀬,キジョカイタビシカイガンノイタビセ,,,県指定天然記念物,その他,喜如嘉海岸,,,26.70638,128.1367,(0980)44-3006,,,,,大宜味村,1974/2/22,,,,,,,,,,,,
6,473022,46,沖縄県,大宜味村,大宜味御嶽のビロウ群落,オオギミウタキノビロウグンラク,,,県指定天然記念物,その他,大宜味御嶽,沖縄県国頭郡大宜味村字大宜味413番地,,26.700657,128.119919,(0980)44-3006,,,,,大宜味村,1974/3/18,,,,,,,,,,,,
7,473022,47,沖縄県,大宜味村,大宜味村の猪垣,オオギミソンノヤマシシガキ,,,村指定史跡文化財,その他,イギミハキンゾー,沖縄県国頭郡大宜味村字押川340番地,,26.685001,128.133502,(0980)44-3006,,,,,大宜味村,2005/10/1,,,,,,,,,,,,
8,473022,48,沖縄県,大宜味村,塩屋ウフンチャのハスノハギリ,シオヤウフンチャノハスノハギリ,,,村指定天然記念物,その他,大山墓地,沖縄県国頭郡大宜味村字塩屋594番地,,26.670605,128.105779,(0980)44-2878,,,,,大土墓地組合,2007/3/1,,,,,,,,,,,,
9,473022,49,沖縄県,大宜味村,津波のビーチロック,ツハノビーチロック,,,村指定天然記念物,その他,大宜味村津波渡海,,,26.66354,128.09749,(0980)44-3006,,,,,大宜味村,2022/4/1,,,,,,,,,,,,
10,473022,50,沖縄県,大宜味村,國頭郡大宜味間切各村全圖及び字圖,クニガミグンオオギミマギリカクムラゼンズオヨビアザズ,,,村指定有形文化財,その他,大宜味村役場,沖縄県国頭郡大宜味村字大兼久157番地,,26.701623,128.120563,(0980)44-3006,,,,,大宜味村,2022/4/1,,,,,,,,,,,,
1,473561,,沖縄県,渡名喜村,渡名喜小中学校跡地の福木,トナキショウチュウガッコウアトチノフクギ,,,村指定重要文化財,その他,,沖縄県渡名喜村1935,,26.37211,127.141121,,,,,,,1992-03-29,,,,,,,,,,,,
2,473561,,沖縄県,渡名喜村,ヌーチュヌーガー御嶽,ヌーチュヌーガーミタケ,,,村指定重要文化財,その他,,沖縄県渡名喜村呼子4588,,26.360975,127.145576,,,,,,,1993-06-04,,,,,,,,,,,,
1,473243,,沖縄県,読谷村,道の駅喜名番所,ミチノエキキナバンショ,道の駅喜名番所,Kina Guardhouse roadside Station,村指定史跡,建造物,喜名番所跡,沖縄県読谷村喜名1-2,,26.3992941,127.7582399,098-958-2944,,,,,,1976-08-18,年末年始以外,9:00,18:00,【休館日】年末年始（12/29-1/3）,,,"喜名番所は、首里城から中頭・国頭地域に至る街道沿いに位置し、
1853年に来沖したペリー提督の調査隊一行も訪れています。",,"現在の建物は戦後60年を経た2005年、
当時の雰囲気を再現し、観光案内所として
整備されました。
また観光ガイドも常駐し、来館者の皆さまをお出迎えしています。",,https://www.dc.ogb.go.jp,
2,473243,,沖縄県,読谷村,長浜貝塚,ナガハマカイヅカ,長浜貝塚,Nagahama shell mound,村指定史跡,その他,長浜貝塚,沖縄県読谷村長浜,,26.41794,127.74137,,,,,,,1976-10-27,,,,,,,"発掘調査の結果、
今から約3500年前（縄文時代後期相当）の遺跡とわかっています。",,"この時期は、まだ農業がおこなわれず、
魚や貝などの海産物やイノシシなどの
野生動物、野山の木の実や植物を食する
狩猟採取生活を営んでいた。",,,長浜山釜原の東方向に位置する
3,473243,,沖縄県,読谷村,樋御墓,ティーウハカ,ティーウハカ,grave,村指定有形民俗文化財,その他,樋御墓,沖縄県読谷村長浜,長浜ダム近くの丘陸の急斜面に位置する,26.416286,127.738342,,,,,,,1976-10-27,,,,,,,"長浜ダム近くの急斜面にあり、ここに行くことは困難である。建築年代は定かではないが、古い形態の墓であると考えられている。
",,"墓の名称は取り付けられていたサンゴ石灰岩製の樋（ティー）に由来するのであろう。
現在、樋は崩れ落ちているが、岩肌をつたって落ちる水を受け、
墓内部に水が流れ込まないような作りに
なっていたようである。",,,別名：カサンジャー御墓
4,473243,,沖縄県,読谷村,チビチリガマ,チビチリガマ,洞窟,cave,村指定史跡,その他,チビチリガマ,沖縄県読谷村波平1153,,26.4066,127.72414,,,,,,,2008-02-07,常時見学可能,,,,,,"1945年、
沖縄戦における
集団自決が行われた場所である。",,この洞窟への避難者約140人のうち83人が肉親同士が殺しあうという「集団自決」で命を落とした。,,https://www.yomitan-kankou.jp,"チビチリガマは、遺族会の許可がない限り、
ガマの内部に立ち入ることは禁止されている。"
