_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
1,472115,,沖縄県,沖縄市,ファミリーマート　泡瀬三丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ｱﾜｾｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市泡瀬3-1-1,,26.316616,127.830879,店内,(098）937-1210,,,,月火水木金土日,00:00,23:59,,,,
2,472115,,沖縄県,沖縄市,ファミリーマート　沖縄池原3丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｲｹﾊﾗｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市池原3-3-14,,26.386465,127.827248,店内,(098）937-8639,,,,月火水木金土日,00:00,23:59,,,,
3,472115,,沖縄県,沖縄市,ファミリーマート　タピックこども館店,ﾌｧﾐﾘｰﾏｰﾄ　ﾀﾋﾟｯｸｺﾄﾞﾓｶﾝﾃﾝ,沖縄県沖縄市比屋根1-16-2,,26.314922,127.823418,店内,(098）931-1558,,,,月火水木金土日,00:00,23:59,,,,
4,472115,,沖縄県,沖縄市,ファミリーマート　球陽高校前店,ﾌｧﾐﾘｰﾏｰﾄ　ｷｭｳﾖｳｺｳｺｳﾏｴﾃﾝ,沖縄県沖縄市山内2-4-32,,26.321035,127.786171,店内,(098）931-9131,,,,月火水木金土日,00:00,23:59,,,,
5,472115,,沖縄県,沖縄市,ファミリーマート　グラウンド通り店,ﾌｧﾐﾘｰﾏｰﾄ　ｸﾞﾗﾝﾄﾞﾄｵﾘﾃﾝ,沖縄県沖縄市上地3-2-15,,26.332514,127.793892,店内,(098）930-0223,,,,月火水木金土日,00:00,23:59,,,,
6,472115,,沖縄県,沖縄市,ファミリーマート　こどもの国前店,ﾌｧﾐﾘｰﾏｰﾄ　ｺﾄﾞﾓﾉｸﾆﾏｴﾃﾝ,沖縄県沖縄市園田2-19-15,,26.326759,127.801735,店内,(098）930-1087,,,,月火水木金土日,00:00,23:59,,,,
7,472115,,沖縄県,沖縄市,ファミリーマート　高原小学校前店,ﾌｧﾐﾘｰﾏｰﾄ　ﾀｶﾊﾗｼｮｳｶﾞｯｺｳﾏｴﾃﾝ,沖縄県沖縄市高原5-8-6,,26.323666,127.822617,店内,(098）929-1630,,,,月火水木金土日,00:00,23:59,,,,
8,472115,,沖縄県,沖縄市,ファミリーマート　美里公園前店,ﾌｧﾐﾘｰﾏｰﾄ　ﾐｻﾄｺｳｴﾝﾏｴﾃﾝ,沖縄県沖縄市美原1-6-20,,26.347534,127.819702,店内,(098）937-0065,,,,月火水木金土日,00:00,23:59,,,,
9,472115,,沖縄県,沖縄市,ファミリーマート　美里工業高校前店,ﾌｧﾐﾘｰﾏｰﾄ　ﾐｻﾄｺｳｷﾞｮｳｺｳｺｳﾏｴﾃﾝ,沖縄県沖縄市大里3-17-23,,26.328417,127.82,店内,(098）921-1011,,,,月火水木金土日,00:00,23:59,,,,
10,472115,,沖縄県,沖縄市,ファミリーマート　宮里一丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ﾐﾔｻﾞﾄｲｯﾁｮｳﾒﾃﾝ,沖縄県沖縄市宮里1-5-3,,26.339802,127.817139,店内,(098）982-1530,,,,月火水木金土日,00:00,23:59,,,,
11,472115,,沖縄県,沖縄市,ファミリーマート　山里二丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ﾔﾏｻﾞﾄﾆﾁｮｳﾒﾃﾝ,沖縄県沖縄市山里2-3-13,,26.321373,127.792969,店内,(098）933-7022,,,,月火水木金土日,00:00,23:59,,,,
12,472115,,沖縄県,沖縄市,ファミリーマート　沖縄越来店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｺﾞｴｸﾃﾝ,沖縄県沖縄市越来2-1-20,,26.344452,127.813042,店内,(098）983-4087,,,,月火水木金土日,00:00,23:59,,,,
13,472115,,沖縄県,沖縄市,ファミリーマート　海邦一丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ｶｲﾎｳｲｯﾁｮｳﾒﾃﾝ,沖縄県沖縄市海邦1-22-35,,26.329519,127.833466,店内,(098）939-5955,,,,月火水木金土日,00:00,23:59,,,,
14,472115,,沖縄県,沖縄市,ファミリーマート　知花四丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ﾁﾊﾞﾅﾖﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市知花4-12-17,,26.359816,127.800156,店内,(098）934-7055,,,,月火水木金土日,00:00,23:59,,,,
15,472115,,沖縄県,沖縄市,ファミリーマート　比屋根店,ﾌｧﾐﾘｰﾏｰﾄ　ﾋﾔﾈﾃﾝ,沖縄県沖縄市比屋根1-2-15,,26.31765,127.822052,店内,(098）931-9755,,,,月火水木金土日,00:00,23:59,,,,
16,472115,,沖縄県,沖縄市,ファミリーマート　比屋根サミット店,ﾌｧﾐﾘｰﾏｰﾄ　ﾋﾔﾈｻﾐｯﾄﾃﾝ,沖縄県沖縄市比屋根7-20-3,,26.320082,127.80835,店内,(098）930-7500,,,,月火水木金土日,00:00,23:59,,,,
17,472115,,沖縄県,沖縄市,ファミリーマート　松本五丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ﾏﾂﾓﾄｺﾞﾁｮｳﾒﾃﾝ,沖縄県沖縄市松本5-19-10,,26.357487,127.806839,店内,(098）934-8161,,,,月火水木金土日,00:00,23:59,,,,
18,472115,,沖縄県,沖縄市,ファミリーマート　松本店,ﾌｧﾐﾘｰﾏｰﾄ　ﾏﾂﾓﾄﾃﾝ,沖縄県沖縄市松本885-1,,26.352606,127.822479,店内,(098）939-9966,,,,月火水木金土日,00:00,23:59,,,,
19,472115,,沖縄県,沖縄市,ファミリーマート　沖縄市消防本部前店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｼｼｮｳﾎﾞｳﾎﾝﾌﾞﾏｴﾃﾝ,沖縄県沖縄市美里5-17-15,,26.352976,127.809547,店内,(098）983-4131,,,,月火水木金土日,00:00,23:59,,,,
20,472115,,沖縄県,沖縄市,ファミリーマート　沖縄北インター店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｷﾀｲﾝﾀｰﾃﾝ,沖縄県沖縄市登川1015-1,,26.373186,127.826248,店内,(098）983-4640,,,,月火水木金土日,00:00,23:59,,,,
21,472115,,沖縄県,沖縄市,ファミリーマート　美里仲原店,ﾌｧﾐﾘｰﾏｰﾄ　ﾐｻﾄﾅｶﾊﾗﾃﾝ,沖縄県沖縄市美里仲原町25-7,,26.344818,127.826759,店内,(098）921-3008,,,,月火水木金土日,00:00,23:59,,,,
22,472115,,沖縄県,沖縄市,ファミリーマート　沖縄与儀三丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜﾖｷﾞｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市与儀3-7-6,,26.308842,127.814713,店内,(098）931-9511,,,,月火水木金土日,00:00,23:59,,,,
23,472115,,沖縄県,沖縄市,ファミリーマート　沖縄ももやま通り店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜﾓﾓﾔﾏﾄｵﾘﾃﾝ,沖縄県沖縄市山内3-9-1,,26.325874,127.782555,店内,(098）931-1125,,,,月火水木金土日,00:00,23:59,,,,
24,472115,,沖縄県,沖縄市,ファミリーマート　沖縄古謝店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｺｼﾞｬﾃﾝ,沖縄県沖縄市古謝2-20-12,,26.333948,127.834633,店内,(098）921-1198,,,,月火水木金土日,00:00,23:59,,,,
25,472115,,沖縄県,沖縄市,ファミリーマート　美里大通り店,ﾌｧﾐﾘｰﾏｰﾄ　ﾐｻﾄｵｵﾄｵﾘﾃﾝ,沖縄県沖縄市美原2-1-8,,26.343094,127.818665,店内,(098）921-4888,,,,月火水木金土日,00:00,23:59,,,,
26,472115,,沖縄県,沖縄市,ファミリーマート　沖縄知花店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜﾁﾊﾞﾅﾃﾝ,沖縄県沖縄市知花5-16-16,,26.366522,127.815781,店内,(098）921-3188,,,,月火水木金土日,00:00,23:59,,,,
27,472115,,沖縄県,沖縄市,ファミリーマート　沖縄税務署前店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｾﾞｲﾑｼｮﾏｴﾃﾝ,沖縄県沖縄市東1-32-2,,26.343868,127.822487,店内,(098）921-4523,,,,月火水木金土日,00:00,23:59,,,,
28,472115,,沖縄県,沖縄市,ファミリーマート　沖縄泡瀬店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｱﾜｾﾃﾝ,沖縄県沖縄市泡瀬4-44-8,,26.316694,127.827873,店内,(098）921-1006,,,,月火水木金土日,00:00,23:59,,,,
29,472115,,沖縄県,沖縄市,ファミリーマート　沖縄宮里店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜﾐﾔｻﾞﾄﾃﾝ,沖縄県沖縄市宮里4-1-8,,26.340576,127.822418,店内,(098）921-2505,,,,月火水木金土日,00:00,23:59,,,,
30,472115,,沖縄県,沖縄市,ファミリーマート　沖縄胡屋六丁目店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｺﾞﾔﾛｸﾁｮｳﾒﾃﾝ,沖縄県沖縄市胡屋6-10-1,,26.324697,127.809082,店内,(098）931-9722,,,,月火水木金土日,00:00,23:59,,,,
31,472115,,沖縄県,沖縄市,ファミリーマート　沖縄与儀店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜﾖｷﾞﾃﾝ,沖縄県沖縄市与儀3-17-1,,26.307148,127.816902,店内,(098）931-1711,,,,月火水木金土日,00:00,23:59,,,,
32,472115,,沖縄県,沖縄市,ファミリーマート　くすの木通り店,ﾌｧﾐﾘｰﾏｰﾄ　ｸｽﾉｷﾄｵﾘﾃﾝ,沖縄県沖縄市胡屋1-12-20,,26.334856,127.80162,店内,(098）921-2433,,,,月火水木金土日,00:00,23:59,,,,
33,472115,,沖縄県,沖縄市,ファミリーマート　アワセベイストリート店,ﾌｧﾐﾘｰﾏｰﾄ　ｱﾜｾﾍﾞｲｽﾄﾘｰﾄﾃﾝ,沖縄県沖縄市泡瀬5-1-4,,26.321922,127.832413,店内,(098）921-1525,,,,月火水木金土日,00:00,23:59,,,,
34,472115,,沖縄県,沖縄市,ファミリーマート　沖縄泡瀬ﾋﾞｼﾞｭﾙ前店,ﾌｧﾐﾘｰﾏｰﾄ　ｵｷﾅﾜｱﾜｾﾋﾞｼﾞｭﾙﾃﾝ,沖縄県沖縄市泡瀬1-6-7,,26.321386,127.833527,店内,(098）921-2313,,,,月火水木金土日,00:00,23:59,,,,
35,472115,,沖縄県,沖縄市,ローソン沖縄　松本二丁目店,ﾛｰｿﾝｵｷﾅﾜ　ﾏﾂﾓﾄﾆﾁｮｳﾒﾃﾝ,沖縄県沖縄市松本847,,26.355236,127.807907,店内,(098）934-3963,,,,月火水木金土日,00:00,23:59,,,,
36,472115,,沖縄県,沖縄市,ローソン沖縄　法務局前店,ﾛｰｿﾝｵｷﾅﾜ　ﾎｳﾑｷｮｸﾏｴﾃﾝ,沖縄県沖縄市知花6-6-10,,26.361185,127.818916,店内,(098）934-0283,,,,月火水木金土日,00:00,23:59,,,,
37,472115,,沖縄県,沖縄市,ローソン沖縄　美里工業高校前店,ﾛｰｿﾝｵｷﾅﾜ　ﾐｻﾄｺｳｷﾞｮｳｺｳｺｳﾏｴﾃﾝ,沖縄県沖縄市泡瀬5-24-12,,26.325033,127.829819,店内,(098）989-3171,,,,月火水木金土日,00:00,23:59,,,,
38,472115,,沖縄県,沖縄市,ローソン沖縄　上地店,ﾛｰｿﾝｵｷﾅﾜ　ｳｴﾁﾃﾝ,沖縄県沖縄市上地1-10-2,,26.334076,127.798737,店内,(098）930-5670,,,,月火水木金土日,00:00,23:59,,,,
39,472115,,沖縄県,沖縄市,ローソン沖縄　泡瀬団地前店,ﾛｰｿﾝｵｷﾅﾜ　ｱﾜｾﾀﾞﾝﾁﾏｴﾃﾝ,沖縄県沖縄市古謝2-18-3,,26.332485,127.834389,店内,(098）934-2790,,,,月火水木金土日,00:00,23:59,,,,
40,472115,,沖縄県,沖縄市,ローソン沖縄　園田三丁目店,ﾛｰｿﾝｵｷﾅﾜ　ｿﾉﾀﾞｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市園田3-9-15,,26.326717,127.793678,店内,(098）930-1163,,,,月火水木金土日,00:00,23:59,,,,
41,472115,,沖縄県,沖縄市,ローソン沖縄　コザ高校前店,ﾛｰｿﾝｵｷﾅﾜ　ｺｻﾞｺｳｺｳﾏｴﾃﾝ,沖縄県沖縄市宮里3-3-33,,26.334681,127.818527,店内,(098）934-7077,,,,月火水木金土日,00:00,23:59,,,,
42,472115,,沖縄県,沖縄市,ローソン沖縄　高原店,ﾛｰｿﾝｵｷﾅﾜ　ﾀｶﾊﾗﾃﾝ,沖縄県沖縄市高原7-1-1,,26.322071,127.821854,店内,(098）937-3963,,,,月火水木金土日,00:00,23:59,,,,
43,472115,,沖縄県,沖縄市,ローソン沖縄　松本店,ﾛｰｿﾝｵｷﾅﾜ　ﾏﾂﾓﾄﾃﾝ,沖縄県沖縄市松本1-22-8,,26.355562,127.817375,店内,(098）934-4472,,,,月火水木金土日,00:00,23:59,,,,
44,472115,,沖縄県,沖縄市,ローソン沖縄　美里店,ﾛｰｿﾝｵｷﾅﾜ　ﾐｻﾄﾃﾝ,沖縄県沖縄市美原1-11-11,,26.347002,127.822952,店内,(098）937-7050,,,,月火水木金土日,00:00,23:59,,,,
45,472115,,沖縄県,沖縄市,ローソン沖縄　南インター店,ﾛｰｿﾝｵｷﾅﾜ　ﾐﾅﾐｲﾝﾀｰﾃﾝ,沖縄県沖縄市上地4-20-9,,26.335896,127.791641,店内,(098）933-0063,,,,月火水木金土日,00:00,23:59,,,,
46,472115,,沖縄県,沖縄市,ローソン沖縄　山内三丁目店,ﾛｰｿﾝｵｷﾅﾜ　ﾔﾏｳﾁｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市山内3-15-6,,26.327785,127.781876,店内,(098）933-7337,,,,月火水木金土日,00:00,23:59,,,,
47,472115,,沖縄県,沖縄市,ローソン沖縄　沖縄市役所前店,ﾛｰｿﾝｵｷﾅﾜ　ｵｷﾅﾜｼﾔｸｼｮﾏｴﾃﾝ,沖縄県沖縄市仲宗根町30-4,,26.333374,127.804543,店内,(098）983-4089,,,,月火水木金土日,00:00,23:59,,,,
48,472115,,沖縄県,沖縄市,ローソン沖縄　古謝店,ﾛｰｿﾝｵｷﾅﾜ　ｺｼﾞｬﾃﾝ,沖縄県沖縄市古謝2-30-12,,26.33416,127.837189,店内,(098）921-1858,,,,月火水木金土日,00:00,23:59,,,,
49,472115,,沖縄県,沖縄市,ローソン沖縄　中頭病院前店,ﾛｰｿﾝｵｷﾅﾜ　ﾅｶｶﾞﾐﾋﾞｮｳｲﾝﾏｴﾃﾝ,沖縄県沖縄市登川2-24-16,,26.365938,127.823624,店内,(098）937-3553,,,,月火水木金土日,00:00,23:59,,,,
50,472115,,沖縄県,沖縄市,ローソン沖縄　越来一丁目店,ﾛｰｿﾝｵｷﾅﾜ　ｺﾞｴｸｲｯﾁｮｳﾒﾃﾝ,沖縄県沖縄市越来1-19-7,,26.343176,127.809174,店内,(098）934-5298,,,,月火水木金土日,00:00,23:59,,,,
51,472115,,沖縄県,沖縄市,ローソン沖縄　安慶田三丁目店,ﾛｰｿﾝｵｷﾅﾜ　ｱｹﾞﾀﾞｻﾝﾁｮｳﾒﾃﾝ,沖縄県沖縄市安慶田3-1-11,,26.331911,127.809708,店内,(098）937-3022,,,,月火水木金土日,00:00,23:59,,,,
52,472115,,沖縄県,沖縄市,ローソン沖縄　八重島二丁目店,ﾛｰｿﾝｵｷﾅﾜ　ﾔｴｼﾏﾆﾁｮｳﾒﾃﾝ,沖縄県沖縄市八重島2-9-1,,26.348612,127.802971,店内,(098）934-8300,,,,月火水木金土日,00:00,23:59,,,,
53,472115,,沖縄県,沖縄市,ローソン沖縄　こどもの国前店,ﾛｰｿﾝｵｷﾅﾜ　ｺﾄﾞﾓﾉｸﾏｴﾃﾝ,沖縄県沖縄市胡屋4-24-16,,26.329573,127.800003,店内,(098）933-6770,,,,月火水木金土日,00:00,23:59,,,,
54,472115,,沖縄県,沖縄市,ローソン沖縄　登川店,ﾛｰｿﾝｵｷﾅﾜ　ﾉﾎﾞﾘｶﾜﾃﾝ,沖縄県沖縄市登川2712-1,,26.370152,127.816231,店内,(098）938-5606,,,,月火水木金土日,00:00,23:59,,,,
