_id,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
19,472131,193,沖縄県,うるま市,指定障害者支援施設美原の里医務室,シテイショウガイシャシエンシセツミハラノサトイムシツ,無床診療所,沖縄県うるま市石川東恩納1517　,,26.40684767,127.8322927,(098)965-3308,,,,,,,,,,,精神科,0.0,,
20,472131,194,沖縄県,うるま市,大嶺医院,オオミネイイン,無床診療所,沖縄県うるま市字田場1417　,,26.3683104,127.8590941,(098)973-1125,,,,,,,,,,,内科;小児科;皮膚科;外科;整形外科,0.0,,
21,472131,197,沖縄県,うるま市,特別養護老人ホームあやはし苑医務室,トクベツヨウゴロウジンホームアヤハシソノイムシツ,無床診療所,沖縄県うるま市与那城屋慶名1410　,,26.32717438,127.90912,(098)978-5566,,,,,,,,,,,内科,0.0,,
22,472131,218,沖縄県,うるま市,ぐしかわ皮ふ科,グシカワヒフカ,無床診療所,沖縄県うるま市みどり町4ｰ19‐1,,26.37517073,127.8556054,(098)973-3008,,,,,,,,,,,皮膚科;性病科,0.0,,
23,472131,236,沖縄県,うるま市,みどり町クリニック,ミドリマチクリニック,無床診療所,沖縄県うるま市みどり町5ｰ27‐2,,26.37803146,127.8512919,(098)972-3858,,,,,,,,,,,内科;小児科;皮膚科,0.0,,
24,472131,247,沖縄県,うるま市,よしクリニック,ヨシクリニック,無床診療所,沖縄県うるま市石川曙3ｰ2‐10,,26.41924082,127.82514,(098)982-5353,,,,,,,,,,,内科;外科;整形外科;皮膚科;肛門科,0.0,,
25,472131,252,沖縄県,うるま市,平良川整形外科,タイラガワセイケイゲカ,無床診療所,沖縄県うるま市字喜屋武169‐5,,26.36344119,127.8474926,(098)974-5670,,,,,,,,,,,整形外科,0.0,,
26,472131,255,沖縄県,うるま市,しゅくみね内科,ショクミネナイカ,無床診療所,沖縄県うるま市字赤道759‐1,,26.35941342,127.8215367,(098)975-1515,,,,,,,,,,,内科;消化器科;胃腸科;呼吸器科;循環器科,0.0,,
27,472131,259,沖縄県,うるま市,あさと整形クリニック,アサトセイケイクリニック,無床診療所,沖縄県うるま市石川1ｰ16‐16,,26.43090093,127.824645,(098)982-5621,,,,,,,,,,,整形外科;リウマチ科;リハビリテーション科,0.0,,
28,472131,261,沖縄県,うるま市,よざ耳鼻咽喉科,ヨザジビインコウカ,無床診療所,沖縄県うるま市字石川2381‐1,,26.43423135,127.8291945,(098)964-4133,,,,,,,,,,,耳鼻咽喉科,0.0,,
29,472131,262,沖縄県,うるま市,ぐしけん眼科,グシケンガンカ,無床診療所,沖縄県うるま市字具志川1371‐1,,26.34490759,127.8725955,(098)975-1010,,,,,,,,,,,眼科,0.0,,
30,472131,263,沖縄県,うるま市,しま小児科内科クリニック,シマショウニカナイカクリニック,無床診療所,沖縄県うるま市安慶名3ｰ23‐24,,26.37345416,127.8518558,(098)972-3788,,,,,,,,,,,小児科;内科;アレルギー科;皮膚科,0.0,,
31,472131,267,沖縄県,うるま市,具志川厚生園医務室,ウシカワコウセイエンイムシツ,無床診療所,沖縄県うるま市字天願1983　,,26.38331702,127.8508501,(098)972-6677,,,,,,,,,,,内科;精神科,0.0,,
32,472131,283,沖縄県,うるま市,医療法人徳洲会　与勝あやはしクリニック　,ヨカツアヤハシクリニック,無床診療所,沖縄県うるま市与那城屋慶名467‐111,,26.32917955,127.903337,(098)983-0055,,,,,,,,,,,内科;外科;小児科;泌尿器科;リハビリテーション科;人工透析内科,0.0,,
33,472131,296,沖縄県,うるま市,伊波クリニック　 ,イハクリニック,無床診療所,沖縄県うるま市石川伊波431　,,26.41906015,127.8205209,(098)964-5735,,,,,,,,,,,内科;小児科;皮膚科;放射線科;ペインクリニック内科,0.0,,
47,472131,361,沖縄県,うるま市,石川医院,イシカワイイン,無床診療所,沖縄県うるま市石川2ｰ21‐5,,26.42663742,127.8253618,(098)964-3049,,,,,,,,,,,内科;小児科,0.0,,
34,472131,297,沖縄県,うるま市,みのり内科クリニック,ミノリナイカクリニック,無床診療所,沖縄県うるま市石川2408　,,26.43415915,127.8296222,(098)965-7770,,,,,,,,,,,内科;消化器内科;人工透析内科;小児科,0.0,,
35,472131,302,沖縄県,うるま市,東山整形外科,アガリヤマセイケイゲカ,無床診療所,沖縄県うるま市石川東山2ｰ30‐14,,26.43506211,127.8387826,(098)963-0333,,,,,,,,,,,整形外科;リハビリテーション科;リウマチ科,0.0,,
36,472131,310,沖縄県,うるま市,たまき心療内科クリニック,タマキシンリョウナイカクリニック,無床診療所,沖縄県うるま市字赤道260‐6,,26.35596943,127.8303416,(098)989-3566,,,,,,,,,,,心療内科;精神科,0.0,,
37,472131,311,沖縄県,うるま市,おおみね眼科,オオミネガンカ,無床診療所,沖縄県うるま市安慶名3ｰ39‐3,,26.37154325,127.8519614,(098)974-3733,,,,,,,,,,,眼科,0.0,,
38,472131,313,沖縄県,うるま市,いわした内科クリニック,イワシタナイカクリニック,無床診療所,沖縄県うるま市安慶名1ｰ2‐11,,26.37464853,127.8542083,(098)982-6666,,,,,,,,,,,内科;胃腸内科;糖尿病内科;循環器内科;呼吸器内科,0.0,,
39,472131,322,沖縄県,うるま市,すながわ内科クリニック,スナガワナイカクリニック,無床診療所,沖縄県うるま市字江洲600‐5,,26.34835911,127.8346082,(098)975-2525,,,,,,,,,,,内科;糖尿病内科;腎臓内科;呼吸器内科;循環器内科;人工透析内科;リハビリテーション科,0.0,,
40,472131,323,沖縄県,うるま市,とくだ心療内科,トクダシンリョウナイカ,無床診療所,沖縄県うるま市字江洲547‐2,,26.34968392,127.8304251,(098)963-8756,,,,,,,,,,,心療内科;精神科,0.0,,
41,472131,338,沖縄県,うるま市,なかよし眼科,ナカヨシガンカ,無床診療所,沖縄県うるま市字宮里763‐1,,26.35173101,127.8346941,(098)974-7111,,,,,,,,,,,眼科,0.0,,
42,472131,343,沖縄県,うるま市,大伴医院,オオトモイイン,無床診療所,沖縄県うるま市勝連南風原371‐4,,26.34173012,127.8715429,(098)978-5655,,,,,,,,,,,内科;産婦人科;小児科,0.0,,
43,472131,346,沖縄県,うるま市,カヨウ眼科,カヨウガンカ,無床診療所,沖縄県うるま市石川白浜2ｰ13‐12,,26.42267942,127.8251426,(098)965-2020,,,,,,,,,,,眼科,0.0,,
44,472131,347,沖縄県,うるま市,うるまこころのクリニック,ウルマココロノクリニック,無床診療所,沖縄県うるま市字喜屋武546‐1,,26.36016367,127.8432819,(098)923-9999,,,,,,,,,,,精神科;心療内科,0.0,,
45,472131,353,沖縄県,うるま市,しらはま内科,シラハマナイカ,無床診療所,沖縄県うるま市石川白浜1ｰ2‐3,,26.42749297,127.8274199,(098)965-0800,,,,,,,,,,,内科;呼吸器内科,0.0,,
46,472131,354,沖縄県,うるま市,しろま内科クリニック,シロマナイカクリニック,無床診療所,沖縄県うるま市字喜屋武546‐1,,26.36016367,127.8432819,(098)973-2500,,,,,,,,,,,内科;呼吸器内科,0.0,,
48,472131,370,沖縄県,うるま市,いしかわ脳とこころの診療所,イシカワノウトココロノシンリョウショ,無床診療所,沖縄県うるま市石川2ｰ1‐7,石川中央団地店舗103号,26.42694298,127.8261562,(098)965-5777,,,,,,,,,,,精神科;心療内科,0.0,,
49,472131,373,沖縄県,うるま市,江洲整形外科クリニック,エスセイケイゲカクリニック,無床診療所,沖縄県うるま市字江洲598‐4,2階,26.34840909,127.8333055,(098)979-1515,,,,,,,,,,,整形外科;リハビリテーション科,0.0,,
50,472131,374,沖縄県,うるま市,医療法人うるまの杜　カヨウ眼科,カヨウガンカ,無床診療所,沖縄県うるま市石川白浜2ｰ13‐12,,26.42267942,127.8251426,(098)965-2020,,,,,,,,,,,眼科,0.0,,
51,472131,379,沖縄県,うるま市,ひまわりキッズクリニック,ヒマワリキッズクリニック,無床診療所,沖縄県うるま市字赤道174‐12,(101号室),26.35374187,127.8299722,(098)974-2982,,,,,,,,,,,小児科,0.0,,
52,472131,381,沖縄県,うるま市,和花クリニック,ワカクリニック,無床診療所,沖縄県うるま市字江洲135‐5,,26.34430669,127.8317001,(098)923-5818,,,,,,,,,,,内科,0.0,,
53,472131,384,沖縄県,うるま市,あかみち整形外科リハビリクリニック,アカミチセイケイゲカリハビリクリニック,無床診療所,沖縄県うるま市字赤道630　,,26.36220769,127.8288999,(098)987-8466,,,,,,,,,,,整形外科;リハビリテーション科,0.0,,
54,472131,386,沖縄県,うるま市,いずみクリニック,イズミクリニック,無床診療所,沖縄県うるま市字高江洲978‐1,,26.35711665,127.8376826,(098)979-0562,,,,,,,,,,,精神科;心療内科;内科,0.0,,
55,472131,387,沖縄県,うるま市,かつれん耳鼻科クリニック,カツレンジビカクリニック,無床診療所,沖縄県うるま市勝連平安名1655‐1-1,,26.32457957,127.8899435,(098)989-6381,,,,,,,,,,,耳鼻咽喉科;頭頸部外科,0.0,,
56,472131,390,沖縄県,うるま市,さくらビューティークリニック　沖縄院,サクラビューティークリニックオキナワイン,無床診療所,沖縄県うるま市前原幸崎原303,　ｲｵﾝ具志川店1階,26.34213503,127.8472374,(098)979-3878,,,,,,,,,,,美容皮膚科,0.0,,
57,472131,392,沖縄県,うるま市,伊禮内科クリニック,イレイナイカクリニック,無床診療所,沖縄県うるま市与那城西原763‐1,,26.32859014,127.8854995,(098)978-7332,,,,,,,,,,,内科;消化器内科,0.0,,
58,472131,395,沖縄県,うるま市,琉球こころのクリニック,リュウキュウココロノクリニック,無床診療所,沖縄県うるま市安慶名3ｰ24‐5,,26.37248483,127.8523669,(098)988-5031,,,,,,,,,,,心療内科;精神科,0.0,,
59,472131,401,沖縄県,うるま市,さとう皮フ科,サトウヒフカ,無床診療所,沖縄県うるま市字宮里262‐18,,26.3552168,127.8349801,(098)989-8628,,,,,,,,,,,皮膚科,0.0,,
60,472131,407,沖縄県,うるま市,あずさクリニック,アズサクリニック,無床診療所,沖縄県うるま市字赤道630　,,26.36220769,127.8288999,(098)975-0055,,,,,,,,,,,内科;糖尿病内科,0.0,,
61,472131,411,沖縄県,うるま市,発達クリニック Can,ハッタツクリニック,無床診療所,沖縄県うるま市字喜屋武384‐3-2,きゃんﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ4B,26.36024429,127.8482675,(098)973-7711,,,,,,,,,,,小児科;精神科;児童精神科;心療内科;リハビリテーション科,0.0,,
62,472131,412,沖縄県,うるま市,いしはらクリニック ,イシハラクリニック,無床診療所,沖縄県うるま市字喜屋武384‐3-2,きゃんﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ1A,26.36024429,127.8482675,(098)973-0088,,,,,,,,,,,内科;循環器内科;脳神経外科;外科;放射線科,0.0,,
63,472131,415,沖縄県,うるま市,のは歯科クリニック,ノハシカクリニック,無床診療所,沖縄県うるま市石川白浜1ｰ2‐3,,26.42749297,127.8274199,(098)965-1862,,,,,,,,,,,歯科,0.0,,
64,472131,425,沖縄県,うるま市,スマイル歯科医院,スマイルシカイイン,無床診療所,沖縄県うるま市高江洲1080‐1,2階,26.3578444,127.8405795,(098)974-3311,,,,,,,,,,,歯科;小児歯科　,0.0,,
65,472131,427,沖縄県,うるま市,藏當歯科医院,クラトウシカイイン,無床診療所,沖縄県うるま市勝連平安名1498‐1,,26.32247708,127.8925487,(098)978-7528,,,,,,,,,,,歯科;小児歯科;矯正歯科,0.0,,
66,472131,429,沖縄県,うるま市,パ－ク歯科,パークシカ,無床診療所,沖縄県うるま市みどり町1ｰ1‐6,,26.37915367,127.8565302,(098)974-3663,,,,,,,,,,,歯科　,0.0,,
67,472131,431,沖縄県,うるま市,石川歯科医院,イシカワシカイイン,無床診療所,沖縄県うるま市石川2ｰ21‐5,,26.42663742,127.8253618,(098)964-5958,,,,,,,,,,,歯科,0.0,,
68,472131,432,沖縄県,うるま市,しおみ歯科医院,シオミシカイイン,無床診療所,沖縄県うるま市字与那城122‐1,,26.32597662,127.8886853,(098)978-7804,,,,,,,,,,,歯科;小児歯科,0.0,,
69,472131,438,沖縄県,うるま市,屋慶名歯科医院,ヤケナシカイイン,無床診療所,沖縄県うるま市与那城屋慶名1103　,,26.32311086,127.9082172,(098)978-6289,,,,,,,,,,,歯科,0.0,,
70,472131,442,沖縄県,うるま市,ファミリー歯科クリニック,ファミリーシカクリニック,無床診療所,沖縄県うるま市みどり町5ｰ3‐11,,26.37621225,127.8537083,(098)972-4141,,,,,,,,,,,歯科;小児歯科;矯正歯科,0.0,,
71,472131,446,沖縄県,うるま市,与勝ホワイト歯科,ヨカツホワイトシカ,無床診療所,沖縄県うるま市勝連南風原4025‐1,,26.33204809,127.883897,(098)978-7860,,,,,,,,,,,歯科,0.0,,
72,472131,451,沖縄県,うるま市,つばさ歯科クリニック,ツバサシカクリニック,無床診療所,沖縄県うるま市字喜屋武565　,,26.35974981,127.8425959,(098)974-4649,,,,,,,,,,,歯科;小児歯科;矯正歯科,0.0,,
73,472131,454,沖縄県,うるま市,たなか歯科医院,タナカシカイイン,無床診療所,沖縄県うるま市字田場1817‐1,,26.37200727,127.8601106,(098)974-8888,,,,,,,,,,,歯科,0.0,,
74,472131,472,沖縄県,うるま市,かわい歯科医院,カワイシカイイン,無床診療所,沖縄県うるま市みどり町4ｰ12‐25,201号室,26.37682611,127.8550665,(098)973-7506,,,,,,,,,,,歯科,0.0,,
75,472131,473,沖縄県,うるま市,わかば歯科医院,ワカバシカイイン,無床診療所,沖縄県うるま市石川東恩納733　,,26.41271635,127.8241515,(098)964-4182,,,,,,,,,,,歯科,0.0,,
76,472131,494,沖縄県,うるま市,ほんだ歯科,ホンダシカ,無床診療所,沖縄県うるま市字与那城94‐1,,26.32562952,127.8915267,(098)978-7831,,,,,,,,,,,歯科,0.0,,
77,472131,495,沖縄県,うるま市,みどり町さくら歯科医院,ミドリマチサクラシカイイン,無床診療所,沖縄県うるま市みどり町6ｰ2‐16,,26.3811507,127.8572107,(098)972-2221,,,,,,,,,,,歯科,0.0,,
78,472131,500,沖縄県,うるま市,うるまデンタルクリニック,ウルマデンタルクリニック,無床診療所,沖縄県うるま市江洲457‐1,3階,26.35329741,127.8264031,(098)947-8049,,,,,,,,,,,歯科;小児歯科,0.0,,
79,472131,512,沖縄県,うるま市,医療法人花の城会　愛の里歯科診療所,アイノサトシカシンリョウショ,無床診療所,沖縄県うるま市字江洲522‐19,,26.35113378,127.8298612,(098)974-8571,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0.0,,
80,472131,513,沖縄県,うるま市,あおば歯科クリニック,アオバシカクリニック,無床診療所,沖縄県うるま市字安慶名385‐2,,26.36986563,127.8514448,(098)972-4618,,,,,,,,,,,歯科;小児歯科,0.0,,
81,472131,515,沖縄県,うるま市,銀座歯科医院,ギンザシカイイン,無床診療所,沖縄県うるま市石川1ｰ4‐2,,26.42829285,127.8257395,(098)964-2045,,,,,,,,,,,歯科;小児歯科;矯正歯科;口腔外科,0.0,,
82,472131,516,沖縄県,うるま市,幸一デンタルオフィス,コウイチデンタルオフィス,無床診療所,沖縄県うるま市石川1ｰ47‐26,,26.43261758,127.8288557,(098)965-7171,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0.0,,
83,472131,517,沖縄県,うるま市,エース歯科クリニック,エースシカクリニック,無床診療所,沖縄県うるま市石川東恩納62‐2,,26.41039722,127.8279013,(098)965-6336,,,,,,,,,,,歯科,0.0,,
84,472131,520,沖縄県,うるま市,なかま歯科室,ナカマシカシツ,無床診療所,沖縄県うるま市字江洲598‐4,,26.34840909,127.8333055,(098)979-1020,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0.0,,
85,472131,523,沖縄県,うるま市,野原歯科医院,ノハラシカイン,無床診療所,沖縄県うるま市字平良川97‐8,,26.36516052,127.8503367,(098)975-1888,,,,,,,,,,,歯科,0.0,,
86,472131,526,沖縄県,うるま市,３０ミオ　矯正歯科,ミオキョウセイシカ,無床診療所,沖縄県うるま市字江洲549‐1,,26.34998111,127.8300196,(098)973-4188,,,,,,,,,,,矯正歯科,0.0,,
87,472131,536,沖縄県,うるま市,仲真歯科医院,ナカマシカイイン,無床診療所,沖縄県うるま市字喜屋武694‐3,,26.35657522,127.8483704,(098)923-0112,,,,,,,,,,,歯科;小児歯科;矯正歯科;口腔外科,0.0,,
88,472131,537,沖縄県,うるま市,医療法人社団秋桜会　ファーストデンタルクリニックうるま,ファーストデンタルクリニックウルマ,無床診療所,沖縄県うるま市安慶名1ｰ2‐18,,26.37436523,127.8539556,(098)973-8010,,,,,,,,,,,歯科;小児歯科;矯正歯科;口腔外科,0.0,,
89,472131,541,沖縄県,うるま市,金城歯科医院,キンジョウシカイイン,無床診療所,沖縄県うるま市喜仲1ｰ7‐19,,26.35736399,127.8459206,(098)974-5177,,,,,,,,,,,歯科;小児歯科,0.0,,
90,472131,545,沖縄県,うるま市,スマート歯科クリニック,スマートシカクリニック,無床診療所,沖縄県うるま市字具志川3008‐1,,26.35983933,127.8696486,(098)974-8311,,,,,,,,,,,歯科,0.0,,
91,472131,547,沖縄県,うるま市,スター歯科クリニック,スターシカクリニック,無床診療所,沖縄県うるま市字豊原下口原750　,,26.34851502,127.851223,(098)923-2188,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0.0,,
92,472131,548,沖縄県,うるま市,なごみ歯科クリニック,ナゴミシカクリニック,無床診療所,沖縄県うるま市石川東山1ｰ21‐13,,26.43516759,127.8361466,(098)964-3300,,,,,,,,,,,歯科;小児歯科,0.0,,
93,472131,572,沖縄県,うるま市,医療法人右納の会　ちねん歯科医院,チネンシカイイン,無床診療所,沖縄県うるま市字大田867‐10,,26.34533529,127.8713623,(098)973-7555,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0.0,,
94,472131,576,沖縄県,うるま市,ふたば歯科クリニック,フタバシカクリニック,無床診療所,沖縄県うるま市高江洲1029‐3,上原ﾏｰﾄﾋﾞﾙ2階,26.35746939,127.8374187,(098)974-9993,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0.0,,
95,472131,585,沖縄県,うるま市,アロハ・デンタルクリニック,アロハデンタルクリニック,無床診療所,沖縄県うるま市字江洲386　,,26.35239751,127.8273197,(098)988-5639,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0.0,,
96,472131,603,沖縄県,うるま市,アールデンタル,アールデンタル,無床診療所,沖縄県うるま市石川白浜2ｰ9‐12,,26.42454318,127.8260035,(098)965-3456,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0.0,,
97,472131,606,沖縄県,うるま市,なぎさ歯科医院　,ナギサシカイイン,無床診療所,沖縄県うるま市字塩屋402‐1,,26.34837631,127.85785,(098)974-6606,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0.0,,
1,473553,753,沖縄県,粟国村,特別養護老人ホームあぐに,トクベツヨウゴロウジンホームアグニ,無床診療所,沖縄県粟国村字東1796　,,26.58422486,127.2311919,(098)988-2082,,,,,,,,,,,内科;外科,0.0,,
2,473553,756,沖縄県,粟国村,沖縄県立南部医療センター・こども医療センター附属粟国診療所,オキナワケンリツナンブイリョウセンター・コドモイリョウセンターフゾクアグニシンリョウジョ,無床診療所,沖縄県粟国村字東573,,26.58179451,127.2277866,(098)988-2003,,,,,,,,,,,内科;外科;小児科,0.0,,
3,473553,1053,沖縄県,粟国村,粟国村歯科診療所,アグニソンシカシンリョウジョ,無床診療所,沖縄県粟国村東513‐1,及び東517‐11階,26.58166401,127.2301781,,,,,,,,,,,,歯科,0.0,,
1,473154,12,沖縄県,伊江村,特別養護老人ホームいえしま医務室,トクベツヨウゴロウジンホームイエシマイムシツ,無床診療所,沖縄県伊江村字東江前2303-1,,26.71092728,127.8251796,(0980)49-5502,,,,,,,,,,,内科;外科;精神科,0.0,,
2,473154,13,沖縄県,伊江村,伊江村立診療所,イエソンタチシンリョウジョ,無床診療所,沖縄県伊江村字東江前459　,,26.71199072,127.8066365,(0980)49-2054,,,,,,,,,,,内科;外科;小児科;整形外科;人工透析内科,0.0,,
3,473154,78,沖縄県,伊江村,伊江歯科医院,イエシカイイン,無床診療所,沖縄県伊江村字東江前459　,,26.71199072,127.8066365,(0980)49-2214,,,,,,,,,,,歯科;小児歯科,0.0,,
1,473600,14,沖縄県,伊是名村,沖縄県立北部病院附属伊是名診療所,オキナワケンリツホクブビョウインフゾクイゼナシンリョウジョ,無床診療所,沖縄県伊是名村字仲田1198　,,26.92796841,127.9406757,(0980)45-2017,,,,,,,,,,,内科;外科;小児科,0.0,,
2,473600,15,沖縄県,伊是名村,特別養護老人ホームチヂン園,トクベツヨウゴロウジンホームチヂンエン,無床診療所,沖縄県伊是名村字仲田1687-51,,26.92240794,127.9436172,(0980)45-2273,,,,,,,,,,,内科;外科,0.0,,
3,473600,79,沖縄県,伊是名村,伊是名村立歯科診療所,イゼナソンリツシカシンリョウジョ,無床診療所,沖縄県伊是名村字仲田1199-1,,26.92755734,127.9405173,(0980)45-2612,,,,,,,,,,,歯科,0.0,,
1,473596,16,沖縄県,伊平屋村,県立北部病院附属伊平屋診療所,ケンリツホクブビョウインフゾクイヒラヤシンリョウジョ,無床診療所,沖縄県伊平屋村字我喜屋217　,,27.03445215,127.9636025,(0980)46-2116,,,,,,,,,,,内科;外科;小児科,0.0,,
2,473596,80,沖縄県,伊平屋村,伊平屋村立歯科診療所,イヘヤソンタチシカシンリョウジョ,無床診療所,沖縄県伊平屋村字我喜屋217-3,,27.03456325,127.9638108,(0980)46-2853,,,,,,,,,,,歯科;小児歯科;矯正歯科,0.0,,
1,472085,631,沖縄県,浦添市,牧港中央病院,マキミナトチュウオウビョウイン,病院,沖縄県浦添市字牧港1199　,,26.26782468,127.7151954,(098)877-0575,,,,,,,,,,,"内科;循環器内科;心臓血管外科;人工透析内科;消化器内科;外科;
リハビリテーション科;麻酔科;腎臓内科;呼吸器内科;血管外科",0.0,,
2,472085,632,沖縄県,浦添市,嶺井第一病院,ミネイダイイチビョウイン,病院,沖縄県浦添市字大平466　,,26.24275172,127.7107743,(098)877-5806,,,,,,,,,,,耳鼻咽喉科;脳神経外科;内科;神経内科;整形外科;リハビリテーション科;放射線科;漢方内科;泌尿器科,0.0,,
